,Exec Env,#vCPUs,Access Method,Number of Threads,Block Size (KiB),Total Size (MiB),Operation,Scope,Total Ops,Ops per sec,Data Transfered (MiB),Throughput (MiB/sec),Total Time,Total #events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
279,Linux Host,96,seq,35,4096.0,1024000.0,write,local,255990.0,34273.87,1023960.0,137095.5,7.4654,255990.0,0.21,0.72,178.88,2.22,184.62496,7314.0,5.275
280,Linux Host,96,rnd,36,4096.0,1024000.0,read,global,255996.0,12495.12,1023984.0,49980.47,20.4838,255996.0,2.35,2.61,22.35,2.61,667.42888,7111.0,18.5397
281,Linux Host,96,rnd,36,4096.0,1024000.0,read,local,159810.0,5324.86,639240.0,21299.43,30.009,159810.0,2.36,6.75,509.32,10.65,1079.49121,4439.1667,29.9859
282,Linux Host,96,seq,36,4096.0,1024000.0,read,global,255996.0,209712.53,1023984.0,838850.11,1.2171,255996.0,0.09,0.12,16.81,0.22,31.69978,7111.0,0.8805
283,Linux Host,96,seq,36,4096.0,1024000.0,read,local,255996.0,52491.87,1023984.0,209967.46,4.8729,255996.0,0.09,0.48,87.81,1.23,123.74812,7111.0,3.4374
284,Linux Host,96,rnd,36,4096.0,1024000.0,write,global,20917.0,696.49,83668.0,2785.97,30.0283,20917.0,22.06,51.65,637.06,121.08,1080.40057,581.0278,30.0111
285,Linux Host,96,rnd,36,4096.0,1024000.0,write,local,137814.0,4591.5,551256.0,18365.99,30.012,137814.0,2.29,7.83,844.77,10.65,1079.5021399999998,3828.1667,29.9862
286,Linux Host,96,seq,36,4096.0,1024000.0,write,global,255996.0,11638.24,1023984.0,46552.96,21.9924,255996.0,0.21,2.93,109.59,4.03,749.19057,7111.0,20.8108
287,Linux Host,96,seq,36,4096.0,1024000.0,write,local,255996.0,31621.51,1023984.0,126486.04,8.0915,255996.0,0.21,0.79,173.34,2.97,202.66222,7111.0,5.6295
288,Linux Host,96,rnd,37,4096.0,1024000.0,read,global,255966.0,13350.31,1023864.0,53401.25,19.1691,255966.0,2.35,2.61,20.18,2.61,668.36593,6918.0,18.0639
289,Linux Host,96,rnd,37,4096.0,1024000.0,read,local,160108.0,5334.13,640432.0,21336.51,30.0144,160108.0,2.37,6.93,588.59,12.3,1109.58125,4327.2432,29.9887
290,Linux Host,96,seq,37,4096.0,1024000.0,read,global,255966.0,227568.47,1023864.0,910273.87,1.1213,255966.0,0.09,0.12,12.12,0.21,31.06496,6918.0,0.8396
291,Linux Host,96,seq,37,4096.0,1024000.0,read,local,255966.0,63142.67,1023864.0,252570.67,4.0498,255966.0,0.09,0.48,98.19,0.87,123.45501,6918.0,3.3366
292,Linux Host,96,rnd,37,4096.0,1024000.0,write,global,21570.0,718.24,86280.0,2872.97,30.0281,21570.0,22.58,51.47,569.64,104.84,1110.22252,582.973,30.006
293,Linux Host,96,rnd,37,4096.0,1024000.0,write,local,136190.0,4538.16,544760.0,18152.62,30.0073,136190.0,2.87,8.15,697.35,12.08,1109.46668,3680.8108,29.9856
294,Linux Host,96,seq,37,4096.0,1024000.0,write,global,238010.0,7932.26,952040.0,31729.03,30.002,238010.0,0.53,3.98,108.48,7.98,946.7638000000001,6432.7027,25.5882
295,Linux Host,96,seq,37,4096.0,1024000.0,write,local,255966.0,32259.0,1023864.0,129035.99,7.931,255966.0,0.21,0.8,149.31,2.43,205.906,6918.0,5.565
296,Linux Host,96,rnd,38,4096.0,1024000.0,read,global,255968.0,12483.33,1023872.0,49933.32,20.5008,255968.0,2.35,2.66,18.04,3.07,681.89775,6736.0,17.9447
297,Linux Host,96,rnd,38,4096.0,1024000.0,read,local,160327.0,5342.5,641308.0,21370.01,30.0083,160327.0,2.36,7.11,1098.53,9.39,1139.7715600000001,4219.1316,29.994
298,Linux Host,96,seq,38,4096.0,1024000.0,read,global,255968.0,205904.08,1023872.0,823616.33,1.2412,255968.0,0.09,0.13,20.25,0.22,32.67833,6736.0,0.86
299,Linux Host,96,seq,38,4096.0,1024000.0,read,local,255968.0,43991.71,1023872.0,175966.83,5.8145,255968.0,0.09,0.58,122.04,1.08,147.47437,6736.0,3.8809
300,Linux Host,96,rnd,38,4096.0,1024000.0,write,global,20823.0,693.29,83292.0,2773.17,30.0313,20823.0,22.41,54.76,1040.65,134.9,1140.30284,547.9737,30.008
301,Linux Host,96,rnd,38,4096.0,1024000.0,write,local,139362.0,4644.12,557448.0,18576.5,30.0068,139362.0,2.65,8.18,868.93,10.46,1139.2983000000002,3667.4211,29.9815
302,Linux Host,96,seq,38,4096.0,1024000.0,write,global,211525.0,7049.5,846100.0,28197.99,30.0026,211525.0,0.54,4.56,112.16,12.08,965.09076,5566.4474,25.3971
303,Linux Host,96,seq,38,4096.0,1024000.0,write,local,255968.0,29910.62,1023872.0,119642.47,8.5537,255968.0,0.21,0.86,159.98,2.39,220.13748,6736.0,5.7931
304,Linux Host,96,rnd,39,4096.0,1024000.0,read,global,255996.0,13328.79,1023984.0,53315.15,19.2023,255996.0,2.35,2.64,22.04,2.76,676.09611,6564.0,17.3358
305,Linux Host,96,rnd,39,4096.0,1024000.0,read,local,159122.0,5302.11,636488.0,21208.45,30.0084,159122.0,2.41,7.35,672.96,9.22,1169.49992,4080.0513,29.9872
306,Linux Host,96,seq,39,4096.0,1024000.0,read,global,255996.0,259377.09,1023984.0,1037508.36,0.9833,255996.0,0.09,0.12,16.28,0.21,31.19896,6564.0,0.8
307,Linux Host,96,seq,39,4096.0,1024000.0,read,local,255996.0,44460.53,1023984.0,177842.12,5.7539,255996.0,0.09,0.61,101.59,1.44,156.59154,6564.0,4.0152
308,Linux Host,96,rnd,39,4096.0,1024000.0,write,global,20216.0,673.14,80864.0,2692.57,30.0287,20216.0,22.48,57.89,778.73,142.39,1170.34944,518.359,30.009
309,Linux Host,96,rnd,39,4096.0,1024000.0,write,local,137067.0,4566.81,548268.0,18267.26,30.0107,137067.0,2.6,8.53,1113.09,12.75,1169.4326299999998,3514.5385,29.9855
310,Linux Host,96,seq,39,4096.0,1024000.0,write,global,253263.0,8439.99,1013052.0,33759.97,30.0043,253263.0,0.45,3.65,55.43,8.13,924.7215600000001,6493.9231,23.7108
311,Linux Host,96,seq,39,4096.0,1024000.0,write,local,255996.0,30767.99,1023984.0,123071.98,8.3169,255996.0,0.21,0.89,217.53,2.71,227.02319,6564.0,5.8211
312,Linux Host,96,rnd,40,4096.0,1024000.0,read,global,256000.0,13249.56,1024000.0,52998.23,19.3175,256000.0,2.35,2.67,28.69,2.81,684.76071,6400.0,17.119
313,Linux Host,96,rnd,40,4096.0,1024000.0,read,local,156778.0,5224.75,627112.0,20899.0,30.0054,156778.0,2.84,7.65,685.92,9.22,1199.39135,3919.45,29.9848
314,Linux Host,96,seq,40,4096.0,1024000.0,read,global,256000.0,202052.31,1024000.0,808209.24,1.2633,256000.0,0.09,0.14,13.61,0.23,35.40513,6400.0,0.8851
315,Linux Host,96,seq,40,4096.0,1024000.0,read,local,256000.0,42057.53,1024000.0,168230.14,6.0834,256000.0,0.09,0.64,152.73,1.79,164.38262,6400.0,4.1096
316,Linux Host,96,rnd,40,4096.0,1024000.0,write,global,25303.0,842.6,101212.0,3370.39,30.0262,25303.0,22.03,47.43,1017.55,94.1,1200.1556799999998,632.575,30.0039
317,Linux Host,96,rnd,40,4096.0,1024000.0,write,local,136137.0,4535.74,544548.0,18142.95,30.011,136137.0,2.74,8.81,1191.14,12.75,1199.49616,3403.425,29.9874
318,Linux Host,96,seq,40,4096.0,1024000.0,write,global,255864.0,8527.66,1023456.0,34110.63,30.0005,255864.0,0.4,3.57,142.11,8.28,914.22248,6396.6,22.8556
319,Linux Host,96,seq,40,4096.0,1024000.0,write,local,256000.0,33121.49,1024000.0,132485.95,7.7255,256000.0,0.21,0.9,244.05,2.61,230.15887,6400.0,5.754
